||       X       ||                  Y                   ||
||_______________||______________________________________||
||       1       ||                           0.50       ||
||_______________||______________________________________||
||       2       ||     Function doesn't have result     ||
||_______________||______________________________________||
||       3       ||                         -78.25       ||
||_______________||______________________________________||
||       4       ||                       -1342.67       ||
||_______________||______________________________________||
||       5       ||                      -29841.11       ||
||_______________||______________________________________||
||       6       ||                     -744924.75       ||
||_______________||______________________________________||
||       7       ||                   -19787642.00       ||
||_______________||______________________________________||
||       8       ||                  -545359360.00       ||
||_______________||______________________________________||
||       9       ||                -15391003648.00       ||
||_______________||______________________________________||
||      10       ||               -441527697408.00       ||
||_______________||______________________________________||
